application_id,seat_allotted
M106U10,1206
M107K12,1201
M115W77,1504
M101N25,1201
M105P30,1101
M104R93,1207
M122V96,1204
M109Q87,1206
M115W84,1604
M101G54,1206
M102P91,1503
M110Y28,1101
M103C47,1102
M110J83,1101
M106V51,1206
M103A56,1503
M101S65,1102
M109J23,1203
M105U90,1501
M101U54,1303
M101K26,1602
M105E39,1201
M107X27,1501
M109E24,1302
M106D31,1206
M111A64,1204
M107S99,1501
M109W53,1201
M114D43,1501
M116E25,1302
M112E18,1207
M117D93,1503
M103W69,1102
M101N21,1504
M106S10,1207
M106D28,1206
M107R85,1204
M122G67,1802
M104G53,1503
M116U94,1206
M101C20,1101
M111H75,1501
M104F25,1602
M118S37,1205
M106N29,1207
M119M47,1802
M104U99,1104
M111G71,1104
M102C27,1503
M108Y54,1502
M101G36,1503
M109K57,1203
M106M76,1602
M102J64,1104
M105J12,1501
M102T61,1201
M101P26,1504
M104U59,1503
M113B22,1101
M108T47,1203
M103J32,1206
M108X64,1602
M111H78,1501
M117A45,1204
M111V13,1503
M107S87,1501
M111M37,1210
M111H69,1504
M109C11,1204
M102Y77,1205
M106D86,1503
M108T64,1602
M104A68,1504
M105C65,1503
M119X70,1102
M101Y88,1604
M107S77,1501
M111Z98,1210
M121G21,1207
M103N78,1205
M103D94,1503
M105B82,1504
M109W82,1201
M103Z71,1601
M110U91,1302
M105J88,1203
M111P38,1802
M102N48,1502
M106U71,1301
M102U62,1213
M102M83,1104
M122M82,1802
M110S75,1502
M101W70,1302
M102D37,1301
M108X80,1201
M109A10,1801
M106T13,1504
M105R67,1102
M109W41,1201
M101M12,1904
M109N21,1216
M107B75,1205
M110Z33,1214
M107U76,1203
M111M50,1207
M110C42,1201
M113U31,1210
M105J72,1102
M102T16,1207
M103V90,1601
M106E73,1203
M106J95,1207
M109R18,1502
M106P56,1205
M103K33,1502
M120V92,1206
M122H66,1214
M102J71,1214
M103P41,1303
M107Z12,1205
M109F45,1602
M115A20,1302
M111Y81,1301
M107F17,1801
M117V20,1301
M109G88,1505
M106X35,1303
M106K13,1302
M105H62,1602
M101N45,1204
M103A51,1302
M109A77,1703
M106P61,1303
M107K56,1502
M102D31,1302
M104P70,1215
M103M30,1215
M102Y62,1502
M106G94,1601
M107X22,1602
M103B19,1205
M106U42,1301
M101S14,1303
M107W61,1302
M109J64,1601
M109V36,1202
M101X68,1701
M104J23,1301
M117S23,1905
M109J50,1303
M118U34,1802
M102T33,1502
M104H16,1206
M110R32,1905
M111C45,1703
M105R95,1905
M101P19,1802
M101A17,1303
M113U13,1303
M106D67,1702
M105D87,1601
M109G13,1605
M106A73,1301
M104B84,1604
M107N82,1102
M108P19,1605
M113A52,1303
M104S65,1503
M102H63,1204
M108H16,1302
M106Q91,1702
M107K52,1904
M109P35,1503
M110K89,1213
M101E64,1303
M109D87,1603
M103Z97,1301
M107E45,1205
M101V64,1701
M102G93,1604
M111V91,1604
M108D85,1601
M119G57,1303
M105F52,1904
M107G51,1303
M117U39,1503
M105B35,1206
M104K35,1701
M105K91,1701
M106N88,2301
M115H79,1301
M109P26,1403
M102Y40,1303
M103Q88,1503
M106R91,1204
M109N63,1604
M111Z94,1802
M114T98,1702
M103H23,1301
M106R52,1504
M104X42,1301
M106T75,1504
M109Q73,1302
M103G77,1702
M108R28,1702
M108W70,1502
M101G15,1202
M104S11,1214
M105K41,1503
M103Z66,2003
M101J75,1701
M107K59,1602
M106J32,1604
M101S62,1604
M105V31,2103
M117Y46,1206
M111K18,1302
M104V75,1302
M105M44,1205
M102M88,1605
M102M30,1604
M101M11,1604
M104F98,1504
M102D57,1702
M108R35,1702
M115F21,1215
M106M47,1902
M102M42,1804
M115K28,1204
M108S12,1605
M110E57,1703
M103N68,1604
M108X11,1803
M108P17,1207
M107X44,1301
M118T20,1204
M106M56,1605
M103R30,1403
M101B66,2002
M101E68,1602
M102T23,1401
M105N72,1805
M104D36,1603
M109J65,1204
M101E88,1505
M107G68,1402
M101W74,1206
M109H65,1504
M112Y46,1301
M121Y10,1703
M101J64,1401
M115P89,1503
M104B94,1401
M105X66,1505
M106S31,1102
M104H52,1403
M109F36,1804
M106D45,1802
M103T31,1703
M102H61,1703
M103W95,1301
M103D10,1602
M111N30,1505
M102Q76,1502
M117E60,1603
M105U15,1401
M111F85,1504
M105D57,1804
M120Z61,1204
M104H80,1601
M103S94,1605
M108Q45,1201
M105Q21,1203
M114W95,1603
M106V25,1603
M107F72,1401
M110F92,1802
M101U33,2003
M112F79,1204
M113Z56,1302
M105H40,1602
M104P10,2101
M101N55,1604
M103J22,1402
M107D13,1402
M112R83,2102
M103N27,2201
M102V43,2101
M103F38,2203
M115D72,1805
M117H28,1403
M115T47,1402
M101W27,1402
M120K69,1504
M111V29,1402
M108N36,1402
M104G64,2101
M106E67,2001
M112Q89,1104
M102F52,1216
M109X22,1203
M109Z11,1502
M108N97,1303
M107K95,2201
M116R74,1203
M106Y25,1216
M115T77,1805
M102G33,2103
M104N15,1104
M107K64,1201
M103V91,1203
M102D28,1805
M111R13,1403
M105X23,2101
M107V35,2303
M110A64,2001
M106K53,1403
M107R60,1602
M110J46,1504
M104M65,2202
M108B65,1203
M118K80,2003
M107T44,2001
M102F29,1215
M102K25,2102
M112A25,1302
M104A44,1604
M113E71,1605
M104U62,2001
M112G96,1801
M112P33,1801
M110U42,1212
M107E83,1205
M122B31,2303
M110T36,2001
M105D54,1601
M102F77,2102
M106Q49,2001
M106K80,2102
M122G13,1302
M110Q61,1302
M106D37,2001
M104V59,1203
M108U21,2302
M113U15,2403
M105P15,1203
M116X10,1501
M101P81,2401
M102K63,1703
M101N64,2103
M112J25,1204
M106Q12,2302
M120P32,1303
M109X44,2102
M108V16,1302
M106H13,2301
M104Z85,2203
M108M26,2403
M111N80,2103
M110U74,2203
M107T22,2302
M111T61,2401
M102U90,2202
M104U38,1903
M110C43,2403
M102R90,1902
M108J95,1904
M105J57,1202
M107X67,2303
M101W95,1702
M108X39,1501
M108Y57,1207
M105N59,1601
M110U56,1804
M103H55,1202
M106T29,1303
M106K82,1804
M117E47,2403
M101Y21,1805
M108U14,2402
M106D49,1604
M110S56,1804
M101A16,1214
M102V68,1902
M116A89,1403
M111G77,2402
M108E14,1804
M113W66,2402
M111B45,1604
M106W60,1905
M108F42,1701
M104C82,1103
M107P53,1802
M105H80,1303
M108R47,1301
M105A28,1301
M104N90,1702
M107G80,1205
M109K78,1905
M103J90,1601
M112S16,1504
M103J83,1212
M108M99,1302
M114W52,1501
M106W33,2203
M114X99,1203
M118W88,1802
M114J83,1215
M103B33,1905
M102S31,1212
M110D57,1905
M116B33,1212
M107Z25,1603
M106D57,1805
M107S65,1501
M107U96,1603
M107P36,1402
M106K79,1101
M103V19,1303
M107N69,1401
M117J34,1501
M107H47,1501
M122E29,1802
M107R42,1604
M104S28,1301
M104D15,1302
M107C15,1703
M105A87,1402
M102M73,1805
M109N41,1212
M105J36,1501
M105K80,1501
M104E36,2301
M113A18,1601
M109P78,1604
M102E63,1702
M103Q35,1604
M112S29,1604
M105W42,1501
M104D67,1402
M106Z30,1201
M103A26,1301
M109S85,1703
M115D98,1902
M102N67,1205
M102Q95,1702
M107E54,1601
M109H62,1213
M104J78,1402
M105P62,1601
M107Y56,1605
M105W39,1402
M109M40,1402
M111G92,1402
M110G11,2002
M111H55,2002
M103V83,2203
M115D29,1803
M115V31,1905
M105F15,1701
M101Q92,2403
M108K64,2101
M111X25,1804
M103B57,1301
M101R72,2001
M108S94,2101
M105G82,2001
M107Y89,1903
M105U61,1403
M101S59,1401
M110E13,1403
M101T95,1403
M114R82,2003
M111Q54,1703
M106J86,1701
M109P53,2302
M105B67,1202
M122B38,1604
M101N52,1604
M109Q80,1703
M101T15,1403
M101W49,1302
M113Z47,1302
M112C60,1802
M106U79,1701
M107Y71,1401
M117K53,1504
M104F26,2101
M109M22,1213
M103B83,1403
M109K47,1403
M117U43,1801
M107K79,1302
M102C41,1301
M104V63,1602
M102N63,1401
M105H15,1301
M107M21,1901
M106Z54,1602
M106R19,1802
M111Y71,1802
M112V65,1802
M102Z38,1403
M102C39,2103
M104V89,1501
M103H30,1701
M109Z31,1702
M106W66,1603
M102N49,1604
M110B49,1401
M104X92,1214
M110N43,2202
M117V35,2303
M105X64,1605
M108X34,1701
M107E46,2302
M104J87,1902
M107A75,2303
M113X58,1605
M119H10,1703
M101X14,2001
M107Y34,1403
M111J94,1901
M112H15,1504
M110R28,1901
M105U50,1504
M101D76,1805
M117S91,2201
M108Y67,1207
M108S39,1207
M112S93,1302
M101Y99,1804
M114S23,2002
M116P79,1205
M121R18,1603
M109V85,1905
M117B78,2402
M121U41,1303
M104Q51,1212
M108P30,1703
M106V11,1303
M116E33,2302
M114Y61,1803
M108N52,1601
M106C21,2001
M103B44,1502
M111B19,1402
M106B24,1216
M109E15,2103
M102E90,1402
M102F76,1403
M120S36,1805
M106D65,1702
M118X59,2002
M102Q60,1901
M102G44,1301
M117D56,2203
M115G16,2101
M105M61,1303
M115D67,2103
M105U73,1403
M103Y50,1605
M110A13,1603
M111G51,2103
M114X88,1703
M118R93,1502
M116A68,1102
M102U72,1402
M103V61,1902
M114X25,2202
M104U29,1703
M114C18,1905
M105V93,1207
M101V28,1503
M110W96,1703
M106D96,1301
M102C49,2102
M115G57,1303
M102T81,1101
M116C24,1903
M104S59,2202
M113Q83,2003
M116D25,1901
M107F15,1502
M115H30,1303
M116W19,2403
M110V72,1403
M108P37,1804
M103E36,1701
M110E49,1202
M106F24,1403
M104H13,1601
M101D94,1701
M119N93,2403
M107R25,1212
M111G37,2102
M122R37,1805
M118J12,2203
M103Z33,1703
M119G30,1601
M118F64,1501
M110B53,1702
M121N43,1403
M117Y66,1403
M108D70,1901
M103T43,1701
M106V45,1402
M101S32,1803
M120U25,1903
M102G68,2302
M110G54,1501
M114W62,2003
M117S88,1207
M108K14,1402
M104P83,1601
M120C14,2001
M103Q87,2101
M115J18,1205
M105T85,1701
M102T96,1205
M118H67,2401
M103M60,1802
M112K95,1501
M102S19,1703
M107A78,1401
M102M59,1701
M102N12,1802
M101F76,1903
M101P22,1102
M105J87,1504
M120K58,2102
M105U26,1401
M104F22,1805
M102C60,1501
M113V54,2201
M112N26,1701
M116Z35,1905
M104J52,1703
M109G40,2301
M104X11,1504
M114F41,1303
M105Q84,1903
M102Z51,1703
M106K30,1501
M104A86,1401
M102Q14,1803
M103X19,1303
M112A47,1503
M108R58,1301
M109Q93,1503
M102A24,1601
M105F34,1102
M103H57,1403
M107D20,1602
M104B68,1805
M104X89,1301
M101S81,1401
M105N46,1204
M105D60,1402
M101D44,1904
M106K23,2401
M107K66,1601
M103C14,1804
M112P67,1401
M102M49,1803
M102T71,1904
M105P81,1203
M113V76,1301
M103W75,1803
M102T35,1103
M103Z22,1204
M102E56,1303
M104U16,1804
M105H61,1904
M103W20,1204
M112S49,1802
M102W56,1103
M104D50,1902
M119W22,1702
M107E47,1701
M112G16,1207
M105U25,1701
M107E62,1802
M105E10,1804
M107A30,1702
M112V28,2301
M116A26,2302
M119C93,1802
M101W10,1803
M103P63,1502
M102Q23,1503
M112J48,1904
M105K69,1403
M111K56,1802
M101K92,1901
M102U17,1701
M101K96,1502
M101S25,1301
M101Q31,1605
M107C57,1301
M111H43,2301
M116E78,1214
M102Y88,1805
M110X97,1101
M107T39,1901
M107S75,2201
M121F81,1402
M110Z71,1601
M110E53,1601
M110W59,1301
M115H36,1901
M111J98,1205
M107X97,1701
M112H62,1805
M108H85,2203
M102X98,2403
M108F81,1803
M101G82,1504
M102V36,1701
M107D19,1602
M105E77,1503
M109W27,1904
M105F14,1601
M102S90,1302
M101R87,1502
M110M37,2302
M106C40,1805
M104D98,1805
M108U62,1502
M103J93,1501
M102M52,1803
M107V99,1401
M110X31,1702
M111U92,2102
M104D21,1902
M104S13,1702
M103A40,1703
M103R40,1303
M112J84,1804
M109F44,1604
M104P59,1701
M110P28,1902
M109S15,1804
M101Z18,1205
M102R50,1203
M104U37,1504
M110P72,1401
M107R43,1601
M119V63,1203
M101V79,1603
M105B45,1801
M103X26,1901
M103A86,1501
M102J72,1604
M102T59,1216
M106D55,1206
M108J10,1602
M106T95,1803
M113E87,1903
M116T43,1802
M106M67,1602
M105D61,1504
M101Y55,1604
M105F45,1602
M101W83,1207
M118U85,1502
M108K13,1902
M103Z40,1603
M102E95,1401
M119J81,1302
M112M33,1803
M113C19,1701
M113N12,1402
M108Z44,1701
M106J75,1802
M104K40,1502
M105T47,1803
M104N60,1904
M104G26,1804
M104C67,1901
M101D18,1212
M103B82,1502
M117H22,1803
M104A48,1505
M101K25,1803
M107D17,1602
M111Q29,1503
M102H87,1903
M107Z95,1303
M102R63,1502
M102C84,1206
M101P47,1801
M109C82,1601
M105D71,1604
M105R25,2101
M110X92,1212
M112Y27,2101
M105E13,1703
M105P40,1603
M101D85,1703
M105K13,1205
M108E89,1601
M101E31,1504
M105P12,1101
M104D54,1402
M115U20,1402
M108H64,1905
M106Q52,1301
M105W93,1401
M111Q86,1501
M109E19,2301
M119W11,1207
M106Q25,1502
M106Q70,1703
M105D56,1206
M108C53,1303
M103R20,2201
M106R96,1702
M109E97,1504
M113D43,1402
M101D16,2103
M101Q45,1203
M108W38,1301
M104F75,1202
M112C62,2102
M102U14,1202
M102C77,1205
M105J77,1203
M104R41,1502
M109X50,1207
M109T41,1202
M116H70,1201
M111Y48,1802
M105Z82,1703
M105J91,1504
M103F43,1302
M106B63,1206
M102Y66,1502
M102E33,1207
M110H57,1212
M105N98,1504
M106J68,1203
M111D22,1502
M110Q88,1401
M113U97,2103
M109G47,1804
M106N70,1605
M101B67,1402
M104V47,1503
M111Y85,1601
M107D86,1601
M102K54,1203
M106N95,1205
M103X20,1102
M101P31,1206
M105J76,1504
M102U75,1401
M105E78,1201
M110U12,1701
M117R18,1301
M106T26,1202
M109T45,1104
M101N77,1504
M111X39,2401
M106F26,1604
M109B80,1301
M105D15,1201
M111Y61,2101
M105G95,1207
M114V34,1101
M107D73,1701
M103W43,1301
M110N90,1403
M101P71,1603
M116N15,2101
M102C51,1303
M101M70,1702
M101Q79,1204
M102E17,1603
M106Z87,1101
M102T12,1207
M103A94,1905
M113Q41,1702
M101S67,1303
M105D88,1402
M101N76,2201
M106D78,2203
M104D20,1601
M105Q59,1101
M108T36,1212
M107D67,1101
M120D60,1602
M115G15,1703
M102K19,1505
M102R13,1502
M103K64,1301
M110S90,1504
M106C16,1503
M103J43,1604
M106D51,1303
M103D24,1804
M106E37,1703
M103S16,1604
M105V83,2103
M115C97,1301
M101A52,1702
M108P83,1303
M108K96,1602
M102U59,1403
M108B57,1203
M108R33,1206
M107A80,2201
M107Y70,2302
M105C46,1901
M119E62,1207
M102R81,1207
M102D25,1402
M101W68,1603
M120J78,1215
M102X87,1206
M104G66,1701
M106R35,1802
M104Q52,1302
M105F48,1904
M103K50,1504
M112X13,1502
M102M92,1401
M114Q18,1403
M107M55,1502
M107E12,1701
M106J45,1201
M109J34,1104
M105H65,1201
M106Y41,1303
M103D72,1402
M101U61,1204
M114D55,1208
M111P87,1207
M102R73,1205
M114B14,1701
M103W36,1301
M112U75,1204
M111V47,1702
M101U32,2401
M109W86,1201
M103W82,1403
M102P35,2202
M117R79,1503
M101M23,1903
M108G82,1207
M101V76,1802
M115X89,1601
M114G33,2202
M106P34,1501
M111R49,1205
M110U71,1804
M112B10,1804
M111F71,1301
M106W68,1206
M101Z68,1703
M105B66,1214
M108K37,1302
M104W79,1701
M109G46,1303
M108V87,1701
M105D73,1702
M102F86,1903
M120B31,1802
M101E18,1805
M108R30,1206
M112C66,1402
M111J82,1802
M115F17,1903
M112X97,1302
M108V17,1604
M108K36,1302
M107D18,1602
M109W18,1802
M104R86,1205
M107S58,1701
M104B45,1303
M101D42,1211
M105E84,1803
M101N86,1703
M104A43,2402
M105W24,1205
M107E80,2101
M105C73,1401
M111V63,1603
M101N17,1702
M103N13,1701
M114R25,1205
M107S63,1501
M115P64,1401
M108C59,1905
M105W92,1501
M119V91,1204
M103X16,1303
M104F42,1403
M103W49,1102
M101A74,1503
M106J26,1301
M102A17,1207
M107G75,1703
M105W89,1501
M101T64,1302
M102C89,1504
M119V94,1504
M107M34,1703
M107V49,1211
M117R70,1302
M109Q96,1603
M110T96,1501
M102G74,1206
M109J10,1401
M101H53,1803
M101V78,1214
M108F90,1502
M102H24,1602
M101Y36,1604
M102V93,1205
M111N79,1205
M108T11,1502
M104V74,1701
M108Q20,2101
M109K80,1701
M112E94,1604
M114A35,1802
M104B43,1207
M106J24,1501
M107G81,1702
M120U11,1803
M108E38,1302
M104V90,1803
M120H32,1303
M109A29,1804
M106N57,1605
M111U96,1301
M105D95,1205
M107T61,1401
M108Z93,1601
M101H20,1505
M109F65,1502
M113B86,2101
M107K57,1904
M102K75,1702
M111G44,1303
M103M66,1301
M102A61,2402
M103M72,1504
M103X51,1702
M104W32,1603
M107A79,1401
M110D94,2102
M104Y91,1214
M108B73,2002
M105F23,1601
M116T65,2101
M112F32,2303
M103W40,1205
M107H78,1206
M106B71,1402
M122C63,2402
M101M84,1216
M106M74,1201
M101Y66,1301
M104Y40,1701
M105Z10,1216
M102Y20,1702
M105B46,2303
M102V65,1605
M107B53,1207
M112V44,1301
M111A99,1901
M103G71,1205
M107C16,1604
M107K58,1502
M111N91,1205
M102Q65,1702
M107C41,1804
M110Q36,1302
M121Y66,2001
M106E68,1702
M104A36,1703
M117X55,1401
M107C88,1211
M104M99,1214
M104D90,1403
M107N13,1904
M102D76,1605
M102N50,2403
M111D44,1504
M110C80,1801
M105N65,1804
M103H95,2103
M112C45,1804
M106B32,1402
M104W12,1601
M109G68,1702
M107X19,1402
M105A93,1302
M113F85,2303
M107K68,1605
M107D21,1801
M110U23,1501
M110X52,1303
M102E35,1802
M109Y98,2103
M111P89,1601
M108G26,1702
M103J33,1701
M103K96,1504
M111E93,2003
M107S20,1702
M106X67,2001
M106R33,1301
M107S40,1207
M110R48,1203
M104R20,1207
M118U24,1101
M106Z40,1501
M108D41,1903
M106Y52,1801
M111J55,1504
M108Q93,1702
M105H73,1904
M122H83,1303
M102M24,1302
M106T76,1206
M102N87,1206
M107K60,1201
M103J31,1201
M110Q44,2103
M105M68,1212
M106Z20,2302
M104P98,1302
M115M18,1802
M103H82,1301
M105Q48,1803
M103G23,1701
M107D94,1805
M102E67,1103
M108Y15,2101
M105J86,1203
M111H72,1601
M110T73,1301
M103X12,1604
M105X40,1601
M111B69,1403
M101D72,1905
M102Y85,2202
M104U15,1901
M102D22,2002
M111M83,1603
M107W39,1903
M107V21,1701
M102Z89,2101
M104N74,1401
M102E23,1301
M105S98,1401
M116J70,1301
M102N74,1901
M101B64,2101
M103G41,1703
M104B69,1103
M107H38,1904
M107G79,1302
M103M70,1504
M104K10,1303
M118J67,1502
M102F82,1401
M109W77,1201
M106H24,2401
M108R24,1702
M113Z20,1303
M101G31,1403
M106D33,1802
M102Y56,1210
M112N86,2301
M110T98,1501
M105J19,1205
M111Y49,1902
M102Y61,1803
M101Y56,1203
M111H64,1504
M101Z24,1205
M110T93,1501
M102G34,1207
M104F60,1402
M108W31,2002
M116Q55,2401
M101G58,1303
M111F58,1302
M103N75,2201
M102S94,1504
M104D19,1601
M102V97,1605
M108V80,1504
M105Z54,1205
M107V32,1401
M114W65,1703
M106T10,1302
M106U53,2101
M110U10,1205
M102Z69,1702
M110V70,1701
M104X96,1604
M101Y44,1702
M105A13,1403
M104N83,1205
M107Y97,1301
M104T46,1803
M118M89,1203
M102R83,1605
M101W39,2201
M106S91,1102
M116Q65,1103
M109N97,1302
M106Q39,1403
M106K59,2002
M106R37,1503
M108S51,1208
M121Y93,2402
M105B76,2103
M110C17,1805
M107E49,2101
M106D95,1701
M101S36,1702
M110X50,1403
M103P53,1302
M106C33,1801
M111U85,1402
M105M96,1904
M101F44,2002
M111Y66,1603
M114C48,1203
M107U23,1701
M117D82,1401
M107D80,1403
M105R94,1904
M110E92,1602
M111S93,1802
M110E58,1701
M101D81,1302
M107W17,1804
M101A34,1702
M105R20,1203
M107N19,1601
M109R40,2002
M112B69,2402
M120V53,1703
M105E60,2402
M113R48,1702
M106W98,1403
M112T98,1303
M110W54,1401
M112V38,1302
M111E70,1202
M102A60,2001
M104A87,1702
M107H67,2101
M113X81,2101
M102M46,1205
M106Y24,1206
M101H97,1702
M105U65,1702
M103Q27,1603
M101A44,1703
M109U10,1303
M102N51,1804
M103J46,1201
M101W26,1504
M107H83,1401
M114E22,1702
M104T57,1702
M114B49,2101
M101Y80,1403
M101S47,1604
M110J78,1403
M112A71,1601
M109Z44,1203
M104K64,1703
M108Q16,1402
M112C84,1403
M116A18,1902
M111W86,1402
M106W61,1903
M104W70,1703
M111V72,1303
M105E34,1602
M104S14,1203
M105M56,1802
M102S72,1403
M109B47,1702
M115V10,1204
M104K60,1401
M104U85,1503
M112W28,1301
M112B61,1303
M106C71,1801
M111F39,1703
M107Q46,1205
M105X61,1402
M108U74,1302
M106W69,1502
M105Q42,1602
M117U51,1403
M111T73,1302
M112K35,2002
M102M81,1604
M106F66,1604
M107Z79,1401
M114Z20,1204
M102S38,2002
M105C23,1501
M106Y61,1302
M108H31,1804
M107R46,1903
M105N49,1214
M104V82,1303
M101P74,1602
M105H64,1201
M104C44,2201
M105D49,1206
M107H52,1702
M101K54,1905
M106Q11,2003
M105A29,1603
M113Z70,1302
M103C40,2202
M105D39,1703
M106G96,1702
M107Y50,1204
M119F93,1805
M106S90,2102
M108Q99,1502
M110Z23,1402
M107V92,1202
M103Z52,1601
M101C96,1804
M114J24,1204
M120T37,1202
M108M98,2201
M119G15,2401
M107D31,1603
M120W36,1302
M102M12,1502
M102G32,1902
M111V15,1403
M122F73,1401
M117X41,1504
M104X71,1605
M110E46,1501
M103H42,1402
M114Z54,2203
M115R31,1604
M110N49,1901
M101Z98,1605
M117Q73,1905
M121F76,1503
M103N43,2101
M102J14,1701
M109U56,1504
M105Q58,1301
M107E13,1401
M107P80,2103
M106F52,2103
M103U27,1802
M107H49,1604
M102H13,1303
M105C76,1402
M103M58,1401
M106A59,1504
M106S48,1701
M106K91,2102
M110T13,1301
M101P62,1403
M105Z92,1805
M110T51,1401
M110U44,1211
M113K85,1208
M101H87,1601
M105Z81,1302
M106Y77,1402
M101X24,1203
M103B42,2202
M103G85,1901
M105J48,1603
M107E11,1211
M106F83,1902
M106R32,1701
M109B81,1804
M102P27,1207
M103C30,1804
M107D46,1302
M111B71,1602
M108J76,2002
M106P35,1604
M103X93,1202
M104P69,2001
M110R46,1303
M107J91,1502
M102H91,1902
M102B24,2002
M116V66,2001
M105P13,1605
M103P40,1902
M103V87,2401
M102W29,1303
M111Z46,1604
M110G85,1603
M120S40,1402
M117R94,1805
M116F42,2301
M101M55,1805
M110E47,2202
M101N84,1805
M115R89,1605
M110X30,1702
M104Y61,1403
M108S46,1303
M115R84,1603
M102Z63,1702
M112Y51,1803
M102X26,1302
M119Z23,1903
M112W19,1703
M102F61,1901
M102A50,1601
M109K20,1401
M108M76,1201
M107M70,1215
M116N91,1801
M103A36,1401
M102Z57,2101
M107E86,1204
M101Z96,1201
M107E16,1302
M111U88,1204
M106U95,1201
M111P81,1901
M106H37,1403
M103F80,2002
M110H50,1504
M109B52,1201
M117Y95,2203
M102G17,1701
M117Z27,1902
M105U20,1102
M105H81,1701
M108B37,1605
M112X63,1603
M111F25,1101
M109P45,1701
M107D25,2003
M120M90,2103
M110H99,1401
M110Y92,2102
M103S66,1505
M112Q52,1701
M109Y71,2301
M106U68,2002
M105C91,1702
M115C15,1205
M106F14,1902
M105Z58,1205
M106N82,1202
M101R32,1402
M111S52,1216
M104Q99,2002
M101N39,1206
M108T13,1301
M101X84,1212
M106F38,1903
M105E27,1201
M101T31,2403
M109R21,2002
M103G69,1301
M111K98,1401
M120P46,2001
M115R12,1403
M107R71,1206
M107J43,1504
M117K36,1703
M116T81,1303
M102G80,1903
M108K81,1604
M105R64,1504
M111P55,1601
M104D41,2101
M102V92,1801
M119T85,1801
M109Z55,1203
M112Y64,1202
M113C13,1803
M106R92,1601
M117A94,1604
M103N60,1203
M103B27,1903
M103J40,1201
M102G40,2001
M104V76,1702
M104S44,1604
M110U50,1603
M103M62,2001
M105H66,1904
M106B42,1403
M107R40,1601
M103M99,1701
M104R88,1504
M117A21,1402
M103Q77,1402
M115D50,2102
M105U34,1701
M102Q45,1203
M114X49,2101
M103J34,1601
M105T55,1905
M112H77,2203
M111F47,1402
M106H33,1502
M116M79,1401
M101R31,2002
M107T19,1502
M115W93,1904
M113W58,1701
M101Z12,1703
M107P79,1403
M106C72,1504
M105T39,1501
M113E16,1902
M120F11,1703
M112D64,1211
M114U12,2302
M102A89,1601
M114X37,1603
M111P59,1401
M104M61,1204
M107J70,1203
